num,weather_condition,best_position,best_fitness,before_price,before_optimal,optimal,optiaml_per
1,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8607.193411764705, 1320.3007111570373, 0, 0, 0, 146.27175425624716, 0, 0]",20544464.38267962,21933193.524395294,20668315.13470629,123850.75202666968,0.5992300350535065
1,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.328921277042, 0, 0, 0, 8580.187905882352, 0, 0, 0, 47.249050584991046, 0]",20544482.49501814,21933193.524395294,20668315.13470629,123832.6396881491,0.5991424016958644
1,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8607.193411764705, 0, 1419.3233724910465, 0, 47.24909630686254, 0, 0, 0]",26461463.770202655,28671798.359943528,26791591.573091898,330127.80288924277,1.2322067615453134
1,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8580.187905882352, 1493.5779749703515, 0, 0, 0, 0]",25836644.605949614,27805058.45906823,26174530.638615727,337886.0326661132,1.2908962431120896
2,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 0, 1612.163011764706, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 0, 803.2491749700787, 0, 0]",2080708.6028480635,3446228.5447341176,2181350.155045111,100641.55219704774,4.613727510197299
2,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.4618352941175, 0, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 261.2467279115573, 1087.2792, 1048.2657882352942, 0]",2126197.3144330783,3446228.5447341176,2181350.155045111,55152.84061203292,2.5283808967796064
2,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.4618352941175, 1612.163011764706, 1598.6388705882352, 0, 0, 1344.2302588235293, 639.0612220292003, 1128.0650823529413, 1087.2792, 0, 1029.8664]",2484219.545603138,4636173.048395295,2755966.261543665,271746.71594052715,9.860306337288652
2,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 0, 1612.163011764706, 1598.6388705882352, 0, 1520.9589176470588, 1344.2302588235293, 1197.6869647058825, 1128.0650823529413, 0, 56.181410264431655, 0]",2705714.471976321,4421121.538828235,2790593.7183757303,84879.24639940914,3.041619632427656
5,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2431.8046574262216, 0, 2665.5619764705884, 2587.0599529411766, 0, 2342.0905411764707, 0, 47.24873233747082, 0, 0, 0]",5549930.008502429,6938659.161148235,5673780.771459229,123850.76295679994,2.182861269152403
5,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2665.5619764705884, 2587.0599529411766, 2431.8046393114555, 2342.0905411764707, 47.24875891673721, 0, 0, 0, 0]",5549930.008150311,6938659.161148235,5673780.771459229,123850.7633089181,2.1828612753584618
5,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 0, 0, 2587.0599529411766, 2536.200847058824, 0, 2056.45576320515, 0, 0, 0, 0]",6820660.010982621,9030994.56101647,7150787.774164842,330127.763182221,4.616662857411922
5,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2645.9136000000003, 0, 0, 2536.200847058824, 2342.0905411764707, 2549.5608926171953, 0, 0, 0, 0]",6825194.449300457,8793608.302418824,7163080.481966319,337886.03266586177,4.717049229259945
6,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 0, 1971.7496470588235, 0, 1235.8177632056702, 1743.294705882353, 1296.2477647058822, 1036.2981176470587, 890.5362352941177, 0, 0, 0]",1932970.0509834995,3299464.6564235296,2034586.266734523,101616.2157510235,4.994441248938332
6,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 1959.3931764705883, 0, 1990.154117647059, 294.3182337938389, 1743.294705882353, 1296.2477647058822, 0, 890.5362352941177, 0, 0, 0]",1936624.4272893912,3299464.6564235296,2034586.266734523,97961.83944513183,4.8148285008508855
6,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1959.3931764705883, 0, 0, 0, 1743.294705882353, 1296.2477647058822, 0, 0, 771.5011764705883, 694.522588235294, 650.9350588235294]",2455634.480288956,4628030.373529412,2747823.5866777827,292189.10638882685,10.63347399030423
6,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 1854.4108235294116, 0, 490.0999984995551, 1990.154117647059, 1912.4449411764706, 0, 0, 1036.2981176470587, 890.5362352941177, 0, 0, 0]",2441904.9131127964,4288069.559223529,2657541.738771024,215636.82565822778,8.11414633728194
7,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1428.550413970349, 1900.0138831764707, 0, 1498.4946260000002, 1262.674694117647, 0, 0, 0, 0]",2679263.928237416,4057360.2113377373,2792481.821648731,113217.89341131505,4.054382468440536
7,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 1900.0138831764707, 1813.0039411764706, 0, 0, 0, 393.5963666879981, 0, 0]",2679263.9282373856,4057360.2113377373,2792481.821648731,113217.89341134531,4.05438246844162
7,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 0, 0, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 241.25737920529573, 0]",3483088.06387594,5470412.672837496,3590205.885985866,107117.82210992603,2.9836122359459507
7,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 0, 0, 0, 1900.0138831764707, 1813.0039411764706, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 529.8334113468317, 0]",3226938.167125243,5195352.020243755,3564824.19979125,337886.0326660066,9.478336482505718
10,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1733.3350080147554, 0, 0, 2622.2036712482354, 2581.5610115364707, 0, 0, 2497.412187135294, 0, 0, 639.2540029176471, 0, 0]",2745909.251859146,4131598.417294445,2866720.0276054386,120810.77574629243,4.214250941247488
10,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2642.4185294117647, 0, 0, 2559.8773716835294, 756.4861509631119, 2497.412187135294, 0, 1086.0403764705882, 0, 531.5312651882354, 0]",2766338.271675662,4131598.417294445,2866720.0276054386,100381.75592977647,3.501623980128433
10,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1966.5027928501224, 0, 2581.5610115364707, 2559.8773716835294, 0, 2497.412187135294, 0, 0, 0, 0, 468.4125176470588]",3818160.021853637,5969138.072582658,4088931.2857310288,270771.2638773918,6.6220546386360395
10,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 483.4892758942644, 0, 0, 2559.8773716835294, 2548.891093197647, 2497.412187135294, 1984.0959529411764, 0, 0, 0, 0]",3548594.2178907576,5489207.437645301,3858679.6171927955,310085.3993020379,8.036049376071968
11,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4475.692800000001, 4432.858729411765, 1018.942245269955, 0, 0, 146.27187130035503, 0, 0, 0]",5569198.007453258,6957927.090974119,5693048.701285111,123850.69383185264,2.1754722351820988
11,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1313.2345060482992, 4432.858729411765, 0, 4280.423717647059, 0, 0, 0, 0, 47.24892064826207]",5569197.960915495,6957927.090974119,5693048.701285111,123850.74036961608,2.175473052630989
11,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4475.692800000001, 1076.469134676591, 4375.3315764705885, 0, 0, 0, 146.27235539768856, 0, 0]",7878774.533625541,10089109.139124706,8208902.352273077,330127.8186475355,4.021582965426819
11,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4460.664282352942, 0, 0, 4432.858729411765, 0, 1132.9941182404878, 0, 0, 0, 47.248737578849884, 0]",7220940.415681568,9189354.268800002,7558826.448347496,337886.0326659279,4.470085865508875
13,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1443.547694117647, 0, 1396.5715058823528, 1411.7880705882353, 1424.2182352941177, 1388.246611764706, 0, 0, 975.9508941176471, 945.1880470588235, 905.8563529411764, 182.39846908738576, 0]",1602562.3486684484,2896249.686141176,1631371.2964521698,28808.947783721378,1.7659344532034942
13,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1383.1045411764705, 0, 0, 0, 0, 1172.9009647058822, 1018.3663058823529, 0, 945.1880470588235, 0, 0, 831.0390352941176]",1696211.0610356403,2896249.686141176,1631371.2964521698,-64839.76458347053,-3.9745559287748304
13,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1396.5715058823528, 1411.7880705882353, 1424.2182352941177, 1388.246611764706, 1172.9009647058822, 1018.3663058823529, 410.6297867350858, 945.1880470588235, 905.8563529411764, 0, 0]",1873329.8320536802,3906400.340795294,2026193.553943665,152863.7218899848,7.544379044759064
13,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1383.1045411764705, 0, 0, 0, 1388.246611764706, 0, 1018.3663058823529, 0, 945.1880470588235, 0, 0, 0]",1982447.8726774664,3716563.404705882,2086035.5842533773,103587.71157591091,4.9657691535969875
15,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 568.8523406982919, 0, 0, 2233.703825282353, 0, 2291.573123094118, 2267.5938658117648, 2289.4647617647056, 0, 0, 422.5753204638859, 0, 0, 0]",4278249.219389969,5637991.716914175,4373113.327225169,94864.10783520062,2.1692579344929497
15,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2233.703825282353, 2223.6829761882354, 2291.573123094118, 2267.5938658117648, 0, 1009.9632226999566, 0, 0, 0, 0, 47.24880431645323]",4250325.670503593,5637991.716914175,4373113.327225169,122787.65672157612,2.8077858389159887
15,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2233.703825282353, 2223.6829761882354, 0, 2267.5938658117648, 2289.4647617647056, 1012.0717302148894, 0, 0, 0, 47.24872123393095, 0]",5155802.143645265,7363637.306811679,5483430.51996005,327628.3763147844,5.974879687491169
15,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1166.7824578766406, 2220.7787534352938, 0, 0, 0, 2267.5938658117648, 2289.4647617647056, 2081.897314882353, 0, 47.24863057404936, 0, 0, 0]",5143315.293396359,7111729.146514787,5481201.326062282,337886.0326659223,6.164452144082456
17,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1447.1936470588237, 0, 1463.5429411764705, 1461.8689411764706, 1444.6397647058825, 0, 1360.679294117647, 0, 0, 0, 0, 0, 585.5378823529412]",1485658.6877727367,2774103.2168823527,1509224.8271933466,23566.13942060992,1.5614730818094915
17,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1440.1863529411764, 0, 1429.9612941176472, 1463.5429411764705, 0, 0, 1427.3089411764706, 0, 1063.746, 966.6698823529412, 0, 721.1604705882353, 650.8143529411765, 585.5378823529412]",1500353.4025139175,2774103.2168823527,1509224.8271933466,8871.424679429037,0.5878133277151901
17,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1148.2329396762395, 1447.1936470588237, 1429.9612941176472, 0, 1461.8689411764706, 1444.6397647058825, 1427.3089411764706, 0, 1063.746, 0, 0, 0, 650.8143529411765, 0]",1899252.3760889345,3813936.4324588235,1933729.6456071946,34477.269518260146,1.7829415604493266
17,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1463.5429411764705, 1461.8689411764706, 0, 1427.3089411764706, 1360.679294117647, 1063.746, 966.6698823529412, 859.8547058823528, 721.1604705882353, 650.8143529411765, 0]",1953156.8539072804,3594775.773388236,1964247.95293573,11091.099028449738,0.5646486235036253
18,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2217.832534235294, 2186.8236161176474, 0, 2600.7655159070587, 0, 2371.0123799411763, 697.3318346513079, 0, 0, 0, 0]",3479501.3846781533,4867167.413609048,3602289.0239200415,122787.63924188819,3.408600432295952
18,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2217.832534235294, 0, 2364.006630047059, 0, 2644.5532777447056, 0, 1616.026775721588, 1231.3466631035294, 0, 0, 0]",3511101.184109593,4867167.413609048,3602289.0239200415,91187.8398104487,2.531385993876119
18,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2217.832534235294, 2186.8236161176474, 0, 2600.7655159070587, 2644.5532777447056, 0, 423.79093684799193, 0, 0, 0, 0]",4466085.455611829,6668290.354972325,4788083.568120696,321998.11250886694,6.724989401871487
18,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 504.56224911856935, 0, 2553.980534611765, 0, 0, 0, 2600.7655159070587, 2644.5532777447056, 0, 1769.9043034705885, 0, 0, 0, 0]",4434687.629112476,6339208.190102689,4708680.369650184,273992.7405377086,5.818885951650696
19,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 841.4985176470587, 0, 848.9124, 0, 843.8370352941176, 0, 830.3014588235294, 852.1924235294117, 917.0778705882353, 997.7865882352942, 1076.486188235294, 0, 1092.731929411765, 1020.3331764705883, 0]",1022765.9973670589,2162375.0188517645,897496.6291627584,-125269.36820430052,-13.95764219428431
19,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 493.0820721636002, 841.4985176470587, 887.9048470588235, 0, 858.6152470588236, 843.8370352941176, 0, 0, 852.1924235294117, 917.0778705882353, 0, 1076.486188235294, 0, 1092.731929411765, 1020.3331764705883, 0]",1053852.1453650792,2162375.0188517645,897496.6291627584,-156355.5162023208,-17.421292863036054
19,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 841.4985176470587, 0, 0, 858.6152470588236, 843.8370352941176, 878.3906823529412, 830.3014588235294, 852.1924235294117, 917.0778705882353, 997.7865882352942, 0, 1111.3333411764706, 0, 0, 0]",1295501.2018548779,2870579.4370941175,990372.6502424887,-305128.55161238916,-30.80946869218164
19,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 493.0820721635849, 841.4985176470587, 0, 848.9124, 858.6152470588236, 843.8370352941176, 0, 0, 852.1924235294117, 0, 0, 0, 1111.3333411764706, 0, 1020.3331764705883, 0]",1532903.524210964,2784878.472430588,1154350.6519780832,-378552.8722328809,-32.79357720153722
20,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1508.0719764705882, 0, 1538.4758823529412, 1645.036305882353, 1807.6485529411766, 1950.6572470588237, 0, 1623.8759161468142, 0, 0]",2509381.233090568,3837983.933008235,2573105.543319229,63724.31022866117,2.4765525220725584
20,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1545.6096, 1508.0719764705882, 1497.162705882353, 1538.4758823529412, 1645.036305882353, 1807.6485529411766, 531.7608573228824, 0, 0, 0, 0]",2464129.299770431,3837983.933008235,2573105.543319229,108976.24354879791,4.235203014961517
20,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1545.6096, 1508.0719764705882, 0, 0, 1645.036305882353, 1807.6485529411766, 0, 2005.7652000000003, 1561.634245558616, 0, 0]",3094651.6845371663,5109215.825580001,3229009.0387283713,134357.354191205,4.1609469834162125
20,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 82.12509261739287, 0, 1552.660094117647, 0, 0, 0, 1497.162705882353, 1538.4758823529412, 1645.036305882353, 1807.6485529411766, 1950.6572470588237, 0, 0, 0, 0]",3067216.294388443,4949543.2919188235,3319015.4714663187,251799.17707787547,7.58656231772949
22,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1432.5183529411765, 0, 1465.8331764705881, 0, 1477.0359529411764, 918.6084220240441, 1355.1700235294118, 1229.1035294117648, 1155.6317647058822, 0, 0, 0, 1039.8646588235295]",1817421.1615154333,3173198.3825082355,1908319.9928192287,90898.83130379533,4.763290834128258
22,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1465.8331764705881, 1481.072611764706, 0, 1434.157411764706, 1355.1700235294118, 1229.1035294117648, 0, 1012.0233396761299, 0, 1056.5411294117646, 1039.8646588235295]",1834125.2265049357,3173198.3825082355,1908319.9928192287,74194.76631429303,3.887962532147581
22,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1465.8331764705881, 0, 1477.0359529411764, 0, 1355.1700235294118, 0, 1155.6317647058822, 1120.6016470588236, 1088.9182588235294, 0, 1039.8646588235295]",2439470.7971152943,4247866.730244705,2367659.9433930772,-71810.85372221703,-3.0329884966210723
22,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1423.6026352941176, 1432.5183529411765, 1438.1826352941177, 1465.8331764705881, 0, 0, 1434.157411764706, 0, 1229.1035294117648, 0, 1120.6016470588236, 0, 0, 529.7664926126001]",2205750.7612045924,4051539.8667952935,2421012.046342789,215261.28513819678,8.891376045128448
25,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2146.2026823529413, 274.66032791143584, 2130.3876705882353, 0, 1604.6576470588234, 1444.8265411764705, 0, 1294.9288941176471, 0, 0, 1178.102117647059]",2714247.9666470983,4064673.3411548147,2799794.951465808,85546.98481870955,3.0554732150624884
25,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2146.2026823529413, 2167.2626823529413, 2130.3876705882353, 1883.2633411764705, 0, 0, 451.7206102644267, 1294.9288941176471, 0, 0, 0]",2728115.789381676,4064673.3411548147,2799794.951465808,71679.16208413197,2.560157558917126
25,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 817.1792456377543, 0, 2146.2026823529413, 0, 2130.3876705882353, 1883.2633411764705, 1604.6576470588234, 1444.8265411764705, 0, 47.24874100807085, 0, 0, 0]",3300923.6754924073,5511258.291861574,3631051.5050099446,330127.82951753726,9.091796937114312
25,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1946.0202352941176, 0, 0, 0, 1946.4240926174277, 1883.2633411764705, 1604.6576470588234, 1444.8265411764705, 0, 0, 1248.5740235294118, 0, 0]",3419281.4491810645,5216124.194498397,3585596.3740458926,166314.92486482812,4.638417365342288
28,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2769.1085647058826, 0, 0, 2746.4832, 2677.400047058824, 0, 0, 1880.774069085459, 0, 0]",4635144.558084461,6023873.660061177,4758995.27037217,123850.71228770912,2.6024550404317495
